         82330516 function calls (76560663 primitive calls) in 439.952 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   527182    0.933    0.000    0.933    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.914    0.914 utilities.py:1(<module>)
     2600    0.095    0.000    0.899    0.000 krr_ase.py:117(__fit)
   417014    0.889    0.000    0.889    0.000 {built-in method numpy.core.multiarray.zeros}
134751/1873    0.305    0.000    0.876    0.000 jsonio.py:49(numpyfy)
     1032    0.090    0.000    0.852    0.001 dftb.py:200(read_results)
   154026    0.199    0.000    0.847    0.000 atoms.py:602(get_initial_magnetic_moments)
    21049    0.264    0.000    0.805    0.000 linalg.py:300(solve)
     1032    0.118    0.000    0.798    0.001 dftb.py:118(write_dftb_in)
1392407/1017215    0.532    0.000    0.795    0.000 {built-in method builtins.len}
       47    0.001    0.000    0.790    0.017 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       47    0.788    0.017    0.789    0.017 {built-in method posix.listdir}
     1032    0.788    0.001    0.788    0.001 {built-in method posix.read}
154345/71064    0.126    0.000    0.760    0.000 jsonio.py:51(<genexpr>)
    15338    0.062    0.000    0.749    0.000 encoder.py:182(encode)
   736272    0.554    0.000    0.745    0.000 copyreg.py:87(__newobj__)
     2822    0.015    0.000    0.734    0.000 jsonio.py:61(<listcomp>)
   154026    0.179    0.000    0.726    0.000 atoms.py:629(get_initial_charges)
     2600    0.671    0.000    0.724    0.000 linalg.py:449(inv)
    42098    0.068    0.000    0.720    0.000 defmatrix.py:32(asmatrix)
        1    0.000    0.000    0.695    0.695 _internal.py:6(<module>)
        1    0.000    0.000    0.690    0.690 _root.py:7(<module>)
        2    0.000    0.000    0.683    0.341 __init__.py:15(<module>)
     1032    0.675    0.001    0.680    0.001 {built-in method _posixsubprocess.fork_exec}
    15338    0.610    0.000    0.671    0.000 encoder.py:204(iterencode)
    42098    0.164    0.000    0.652    0.000 defmatrix.py:212(__new__)
   110228    0.086    0.000    0.647    0.000 distance.py:164(_copy_array_if_base_present)
     4467    0.604    0.000    0.640    0.000 {built-in method io.open}
    93050    0.067    0.000    0.639    0.000 _methods.py:31(_sum)
   110228    0.113    0.000    0.593    0.000 distance.py:184(_convert_to_type)
    72001    0.102    0.000    0.578    0.000 {method 'sum' of 'numpy.ndarray' objects}
    33968    0.231    0.000    0.575    0.000 fromnumeric.py:2408(prod)
    63260    0.331    0.000    0.567    0.000 atoms.py:389(new_array)
        1    0.000    0.000    0.545    0.545 minpack.py:1(<module>)
   736386    0.536    0.000    0.536    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1032    0.014    0.000    0.536    0.001 formats.py:319(write)
  3294345    0.526    0.000    0.526    0.000 {method 'append' of 'list' objects}
    63147    0.312    0.000    0.519    0.000 defmatrix.py:280(__getitem__)
        1    0.000    0.000    0.518    0.518 __init__.py:56(<module>)
    28724    0.431    0.000    0.511    0.000 numeric.py:1076(outer)
   308055    0.399    0.000    0.505    0.000 numeric.py:3060(__init__)
   463078    0.397    0.000    0.502    0.000 defmatrix.py:258(__array_finalize__)
   264843    0.454    0.000    0.500    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   616177    0.489    0.000    0.489    0.000 {built-in method builtins.abs}
   110228    0.070    0.000    0.480    0.000 numeric.py:586(ascontiguousarray)
   616111    0.468    0.000    0.468    0.000 {built-in method numpy.core.umath.seterrobj}
    33869    0.098    0.000    0.445    0.000 fromnumeric.py:2275(amin)
   778568    0.393    0.000    0.442    0.000 {built-in method __new__ of type object at 0x883680}
        1    0.000    0.000    0.439    0.439 ivp.py:1(<module>)
        1    0.000    0.000    0.437    0.437 tempfile.py:24(<module>)
    42098    0.127    0.000    0.436    0.000 shape_base.py:826(tile)
1645883/1645870    0.430    0.000    0.431    0.000 {built-in method builtins.issubclass}
    55114    0.425    0.000    0.425    0.000 {built-in method scipy.spatial._distance_wrap.cdist_sqeuclidean_double_wrap}
  2963718    0.425    0.000    0.425    0.000 copy.py:190(_deepcopy_atomic)
    14965    0.064    0.000    0.396    0.000 calculator.py:336(todict)
     1032    0.011    0.000    0.396    0.000 formats.py:355(_write)
        1    0.000    0.000    0.395    0.395 wannier.py:1(<module>)
        1    0.000    0.000    0.386    0.386 __init__.py:52(<module>)
        1    0.000    0.000    0.385    0.385 trajectory.py:1(<module>)
        1    0.000    0.000    0.384    0.384 random.py:38(<module>)
        1    0.000    0.000    0.379    0.379 shutil.py:5(<module>)
      500    0.131    0.000    0.376    0.001 gaussComparator.py:16(get_similarity_matrix)
        1    0.000    0.000    0.358    0.358 __init__.py:10(<module>)
        1    0.000    0.000    0.354    0.354 index_tricks.py:1(<module>)
     2170    0.003    0.000    0.350    0.000 singlepoint.py:41(get_property)
    33968    0.026    0.000    0.344    0.000 _methods.py:34(_prod)
   375128    0.261    0.000    0.343    0.000 atoms.py:808(__len__)
   736714    0.342    0.000    0.342    0.000 {method 'update' of 'dict' objects}
   308152    0.331    0.000    0.331    0.000 {built-in method numpy.core.multiarray.result_type}
        1    0.000    0.000    0.329    0.329 __init__.py:8(<module>)
    55114    0.138    0.000    0.322    0.000 six.py:130(callable)
        1    0.000    0.000    0.322    0.322 atom.py:1(<module>)
        5    0.001    0.000    0.314    0.063 globalOptim_ase3d.py:470(<listcomp>)
     1032    0.184    0.000    0.314    0.000 gen.py:68(write_gen)
      934    0.003    0.000    0.308    0.000 ulm.py:443(__getitem__)
    16100    0.055    0.000    0.307    0.000 calculator.py:333(get_default_parameters)
    89121    0.112    0.000    0.306    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.306    0.306 case.py:1(<module>)
        1    0.000    0.000    0.304    0.304 krr_ase.py:1(<module>)
    75541    0.049    0.000    0.304    0.000 _methods.py:25(_amax)
    63450    0.060    0.000    0.301    0.000 fromnumeric.py:55(_wrapfunc)
   104798    0.297    0.000    0.297    0.000 jsonio.py:42(intkey)
    21049    0.062    0.000    0.295    0.000 defmatrix.py:789(min)
  1232222    0.291    0.000    0.291    0.000 {built-in method numpy.core.umath.geterrobj}
    38131    0.167    0.000    0.283    0.000 linalg.py:139(_commonType)
        1    0.000    0.000    0.281    0.281 numeric.py:1(<module>)
   167345    0.136    0.000    0.281    0.000 atoms.py:656(get_positions)
        1    0.000    0.000    0.271    0.271 csr.py:1(<module>)
