nan {'sigma': 20, 'reg': 1e-07}
1.20813068607e-05 {'sigma': 20, 'reg': 1e-07}
0.115438867602 {'sigma': 20, 'reg': 1e-07}
0.231848657599 {'sigma': 20, 'reg': 1e-07}
0.13493760004 {'sigma': 20, 'reg': 1e-07}
0.00139605039124 {'sigma': 20, 'reg': 1e-07}
         9406140 function calls (9306530 primitive calls) in 16.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1195    0.012    0.000    0.217    0.000 patches.py:704(_update_patch_transform)
    61206    0.091    0.000    0.215    0.000 six.py:130(callable)
       12    0.003    0.000    0.215    0.018 backend_pdf.py:835(embedTTFType3)
     1225    0.035    0.000    0.213    0.000 text.py:329(_get_layout)
       84    0.001    0.000    0.213    0.003 axis.py:868(set_clip_path)
     6466    0.020    0.000    0.210    0.000 transforms.py:2290(__init__)
     1214    0.007    0.000    0.210    0.000 lines.py:1310(update_from)
       12    0.000    0.000    0.206    0.017 colorbar.py:1333(colorbar_factory)
       12    0.000    0.000    0.206    0.017 colorbar.py:898(__init__)
        6    0.001    0.000    0.199    0.033 plotSeries.py:127(<listcomp>)
      828    0.006    0.000    0.197    0.000 axis.py:381(_get_text1)
       12    0.000    0.000    0.196    0.016 pyplot.py:2861(contourf)
       12    0.000    0.000    0.196    0.016 _axes.py:5830(contourf)
      462    0.003    0.000    0.195    0.000 backend_pdf.py:1709(draw_markers)
    71402    0.110    0.000    0.194    0.000 shape_base.py:11(atleast_1d)
       12    0.000    0.000    0.189    0.016 colorbar.py:261(__init__)
    94610    0.186    0.000    0.186    0.000 {built-in method numpy.core.multiarray.zeros}
      336    0.001    0.000    0.186    0.001 axis.py:191(set_clip_path)
       12    0.000    0.000    0.185    0.015 colorbar.py:342(draw_all)
       12    0.000    0.000    0.184    0.015 pyplot.py:3795(legend)
       12    0.000    0.000    0.184    0.015 _axes.py:297(legend)
       12    0.002    0.000    0.184    0.015 contour.py:769(__init__)
       12    0.000    0.000    0.184    0.015 legend.py:453(draw)
      882    0.007    0.000    0.183    0.000 axis.py:516(_get_text1)
       12    0.001    0.000    0.183    0.015 legend.py:149(__init__)
       12    0.001    0.000    0.177    0.015 legend.py:583(_init_legend_box)
     6932    0.013    0.000    0.172    0.000 backend_pdf.py:589(<listcomp>)
    36794    0.081    0.000    0.171    0.000 weakref.py:242(values)
       12    0.000    0.000    0.168    0.014 colorbar.py:416(_config_axes)
441281/441279    0.143    0.000    0.163    0.000 {built-in method builtins.isinstance}
      104    0.001    0.000    0.161    0.002 pyplot.py:3304(plot)
  461/448    0.001    0.000    0.160    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
     4152    0.019    0.000    0.160    0.000 transforms.py:781(__init__)
      104    0.001    0.000    0.159    0.002 _axes.py:1264(plot)
    11133    0.028    0.000    0.157    0.000 numeric.py:2365(identity)
    61263    0.046    0.000    0.156    0.000 atoms.py:350(get_cell)
       40    0.000    0.000    0.155    0.004 legend_handler.py:91(legend_artist)
       40    0.001    0.000    0.153    0.004 legend_handler.py:185(create_artists)
      425    0.008    0.000    0.151    0.000 backend_bases.py:246(draw_markers)
       12    0.000    0.000    0.150    0.012 colorbar.py:370(update_ticks)
     2308    0.041    0.000    0.149    0.000 lines.py:670(recache)
     3851    0.023    0.000    0.149    0.000 text.py:189(__init__)
      882    0.006    0.000    0.148    0.000 axis.py:531(_get_text2)
        1    0.000    0.000    0.147    0.147 __init__.py:106(<module>)
    66/60    0.000    0.000    0.146    0.002 <frozen importlib._bootstrap_external>:919(create_module)
    66/60    0.130    0.002    0.146    0.002 {built-in method _imp.create_dynamic}
    61206    0.096    0.000    0.145    0.000 distance.py:141(_filter_deprecated_kwargs)
    14569    0.034    0.000    0.145    0.000 transforms.py:163(set_children)
     1146    0.003    0.000    0.144    0.000 backend_pdf.py:1433(writePath)
    72490    0.061    0.000    0.143    0.000 atoms.py:653(get_positions)
    11641    0.091    0.000    0.140    0.000 artist.py:95(__init__)
    63099    0.061    0.000    0.137    0.000 {built-in method builtins.any}
       72    0.001    0.000    0.137    0.002 axis.py:1067(_get_tick_bboxes)
    20414    0.054    0.000    0.136    0.000 atoms.py:388(new_array)
      828    0.006    0.000    0.136    0.000 axis.py:398(_get_text2)
      414    0.005    0.000    0.135    0.000 text.py:932(get_window_extent)
    10740    0.034    0.000    0.135    0.000 artist.py:851(update)
        1    0.000    0.000    0.133    0.133 __init__.py:101(<module>)
       24    0.000    0.000    0.131    0.005 axis.py:1617(set_ticks)
    15050    0.013    0.000    0.131    0.000 backend_pdf.py:582(write)
       12    0.002    0.000    0.130    0.011 backend_pdf.py:879(<listcomp>)
    10207    0.022    0.000    0.129    0.000 atoms.py:285(set_cell)
     3072    0.007    0.000    0.128    0.000 backend_pdf.py:873(get_char_width)
    10207    0.029    0.000    0.128    0.000 atoms.py:1894(symbols2numbers)
    76/12    0.001    0.000    0.127    0.011 offsetbox.py:273(draw)
        1    0.000    0.000    0.127    0.127 colorbar.py:20(<module>)
     2208    0.011    0.000    0.125    0.000 markers.py:701(_set_tickleft)
        1    0.000    0.000    0.125    0.125 add_newdocs.py:10(<module>)
      852    0.123    0.000    0.123    0.000 {method 'call' of '_tkinter.tkapp' objects}
     2208    0.010    0.000    0.121    0.000 markers.py:707(_set_tickright)
    61206    0.121    0.000    0.121    0.000 {built-in method scipy.spatial._distance_wrap.cdist_sqeuclidean_wrap}
    61221    0.119    0.000    0.119    0.000 {method 'dot' of 'numpy.ndarray' objects}
    14257    0.015    0.000    0.119    0.000 backend_pdf.py:394(write)
   199820    0.113    0.000    0.117    0.000 {built-in method builtins.getattr}
     1856    0.002    0.000    0.115    0.000 lines.py:983(get_path)
    61057    0.094    0.000    0.111    0.000 weakref.py:288(update)
     1968    0.009    0.000    0.111    0.000 markers.py:721(_set_tickdown)
662740/661135    0.109    0.000    0.110    0.000 {built-in method builtins.len}
      954    0.005    0.000    0.108    0.000 backend_pdf.py:2078(get_text_width_height_descent)
        1    0.000    0.000    0.107    0.107 type_check.py:3(<module>)
     1968    0.009    0.000    0.107    0.000 markers.py:715(_set_tickup)
     1565    0.106    0.000    0.106    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    23537    0.040    0.000    0.105    0.000 weakref.py:165(__setitem__)
1348/1287    0.046    0.000    0.105    0.000 {built-in method builtins.__build_class__}
    11133    0.070    0.000    0.105    0.000 twodim_base.py:139(eye)
7460/4790    0.008    0.000    0.104    0.000 transforms.py:2322(_invalidate_internal)
      448    0.001    0.000    0.103    0.000 transforms.py:1902(clear)
        1    0.000    0.000    0.103    0.103 gaussComparator.py:1(<module>)
      390    0.003    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     1794    0.049    0.000    0.101    0.000 backend_pdf.py:2291(delta)
      828    0.001    0.000    0.100    0.000 axis.py:361(_get_text1_transform)
      828    0.005    0.000    0.098    0.000 _base.py:713(get_xaxis_text1_transform)
        1    0.000    0.000    0.098    0.098 __init__.py:89(<module>)
       48    0.000    0.000    0.098    0.002 ticker.py:1784(__call__)
       48    0.000    0.000    0.097    0.002 ticker.py:1788(tick_values)
    14221    0.097    0.000    0.097    0.000 {method 'compress' of 'zlib.Compress' objects}
       48    0.004    0.000    0.096    0.002 ticker.py:1733(_raw_ticks)
       36    0.000    0.000    0.095    0.003 figure.py:414(_set_dpi)
      672    0.002    0.000    0.094    0.000 ticker.py:2317(__init__)
    37332    0.069    0.000    0.092    0.000 cbook.py:687(is_string_like)
     7924    0.017    0.000    0.092    0.000 colors.py:128(to_rgba)
    37881    0.040    0.000    0.092    0.000 artist.py:326(pchanged)
      672    0.003    0.000    0.091    0.000 ticker.py:1630(__init__)
     1344    0.007    0.000    0.088    0.000 ticker.py:1703(set_params)
30621/10207    0.073    0.000    0.086    0.000 atoms.py:1842(string2symbols)
      485    0.003    0.000    0.084    0.000 backend_pdf.py:1998(draw_text_simple)
     1520    0.006    0.000    0.082    0.000 transforms.py:1315(transform)
     8318    0.014    0.000    0.082    0.000 font_manager.py:970(_normalize_font_family)
       42    0.001    0.000    0.082    0.002 _base.py:630(set_figure)
    89489    0.031    0.000    0.081    0.000 numeric.py:534(asanyarray)
      882    0.002    0.000    0.079    0.000 axis.py:495(_get_text1_transform)
94411/94214    0.066    0.000    0.079    0.000 {built-in method builtins.hasattr}
       12    0.001    0.000    0.078    0.007 backend_tkagg.py:219(__init__)
    10207    0.051    0.000    0.078    0.000 twodim_base.py:191(diag)
      882    0.006    0.000    0.078    0.000 _base.py:793(get_yaxis_text1_transform)
     3696    0.078    0.000    0.078    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
    10740    0.009    0.000    0.077    0.000 artist.py:884(<listcomp>)
      516    0.006    0.000    0.077    0.000 <frozen importlib._bootstrap>:861(_find_spec)
     3462    0.008    0.000    0.076    0.000 transforms.py:2648(__init__)
     3404    0.010    0.000    0.074    0.000 transforms.py:1957(translate)
   138981    0.038    0.000    0.073    0.000 {method 'get' of 'dict' objects}
      177    0.002    0.000    0.073    0.000 _base.py:1745(add_collection)
     2176    0.003    0.000    0.073    0.000 font_manager.py:1443(findfont)
  236/116    0.006    0.000    0.072    0.001 offsetbox.py:453(get_extent_offsets)
      126    0.005    0.000    0.072    0.001 backend_pdf.py:2008(draw_text_woven)
     1195    0.003    0.000    0.071    0.000 transforms.py:1947(rotate_deg_around)
      181    0.004    0.000    0.070    0.000 patches.py:523(draw)
     1225    0.004    0.000    0.070    0.000 transforms.py:1411(transform_point)
        1    0.000    0.000    0.070    0.070 contour.py:4(<module>)
     2176    0.006    0.000    0.070    0.000 font_manager.py:1228(findfont)
      104    0.001    0.000    0.069    0.001 _base.py:1782(add_line)
     5354    0.020    0.000    0.069    0.000 lines.py:1086(set_linestyle)
       42    0.000    0.000    0.069    0.002 transforms.py:820(null)
2872/1778    0.013    0.000    0.069    0.000 transforms.py:2392(get_affine)
    21345    0.068    0.000    0.069    0.000 {built-in method numpy.core.multiarray.dot}
     6649    0.017    0.000    0.068    0.000 artist.py:856(_update_property)
      511    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        1    0.000    0.000    0.068    0.068 _procrustes.py:6(<module>)
        1    0.000    0.000    0.067    0.067 __init__.py:169(<module>)
      511    0.003    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      123    0.000    0.000    0.067    0.001 lines.py:1266(_draw_lines)
     1565    0.005    0.000    0.067    0.000 backend_pdf.py:2126(_get_font_ttf)
      390    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
  236/116    0.000    0.000    0.066    0.001 offsetbox.py:461(<listcomp>)
   183618    0.066    0.000    0.066    0.000 six.py:131(<genexpr>)
    72/48    0.002    0.000    0.065    0.001 offsetbox.py:376(get_extent_offsets)
       12    0.000    0.000    0.065    0.005 backend_tkagg.py:530(__init__)
      108    0.000    0.000    0.065    0.001 __init__.py:3534(__init__)
     1520    0.003    0.000    0.064    0.000 transforms.py:2368(transform_affine)
      108    0.001    0.000    0.064    0.001 __init__.py:3478(__init__)
      390    0.064    0.000    0.064    0.000 {built-in method marshal.loads}
   220/76    0.001    0.000    0.063    0.001 offsetbox.py:258(get_extent)
       12    0.000    0.000    0.063    0.005 backend_tkagg.py:559(_get_toolbar)
       12    0.000    0.000    0.063    0.005 backend_tkagg.py:706(__init__)
       12    0.000    0.000    0.063    0.005 backend_bases.py:2748(__init__)
    72/48    0.000    0.000    0.063    0.001 offsetbox.py:390(<listcomp>)
        1    0.000    0.000    0.062    0.062 figure.py:12(<module>)
       12    0.001    0.000    0.062    0.005 backend_tkagg.py:750(_init_toolbar)
       12    0.001    0.000    0.061    0.005 collections.py:1904(draw)
       27    0.000    0.000    0.061    0.002 pyplot.py:3416(scatter)
     2176    0.003    0.000    0.061    0.000 font_manager.py:1000(get)
       27    0.001    0.000    0.060    0.002 _axes.py:3801(scatter)
       42    0.000    0.000    0.059    0.001 _base.py:948(_gen_axes_spines)
      168    0.001    0.000    0.058    0.000 spines.py:453(linear_spine)
